Postcode,latitude,longitude
E16 1EH,51.516285,0.010675
E18 1EE,51.594382,0.031231
E20 1DS,51.549126,-0.009874
EC2A 1ZT,51.524565,-0.112042
EC4A 2DQ,51.514372,-0.107838
N2 0EH,51.583561,-0.180138
N4 1DY,51.57668,-0.098915
N6 4EJ,51.577881,-0.148094
N8 0EY,51.588475,-0.108167
N10 1ER,51.599134,-0.146638
N12 0EQ,51.612815,-0.17673
N14 4DY,51.641447,-0.131966
N16 0ES,51.56086,-0.077804
N18 1EA,51.608965,-0.085161
N20 0EA,51.626392,-0.155944
N22 5EL,51.601668,-0.094728
NW2 1EP,51.559319,-0.212412
NW4 1HH,51.596512,-0.220091
NW6 1EF,51.554484,-0.19845
NW8 0HE,51.539577,-0.177683
NW10 0EA,51.563206,-0.259193
SE2 0HD,51.48849,0.105343
SE4 1EA,51.454734,-0.030912
SE6 1ES,51.439774,-0.0104
SE8 3DZ,51.479233,-0.020352
SE10 0DZ,51.487436,0.007
SE12 0GD,51.43028,0.021542
SE14 5EZ,51.480154,-0.050164
SE16 2EE,51.498141,-0.060015
SE18 1EB,51.489389,0.095315
SE20 7HQ,51.415904,-0.055704
SE22 0EB,51.445804,-0.070379
SE24 0EB,51.456525,-0.101335
SE26 4DY,51.433601,-0.055672
SE28 0EF,51.492747,0.080502
SW2 1DU,51.459509,-0.111792
SW4 0EG,51.464218,-0.14029
SW6 1EP,51.479797,-0.195807
SW8 1DS,51.483666,-0.123631
SW10 0DW,51.482336,-0.176826
SW12 0DZ,51.446277,-0.138543
SW14 7DT,51.462859,-0.276733
SW16 1EH,51.436925,-0.127298
SW18 1DS,51.458387,-0.190606
SW20 0DW,51.415112,-0.23949
W2 1ED,51.522448,-0.17312
W4 1DY,51.500721,-0.255163
W6 0ED,51.493275,-0.225743
W8 4HA,51.503954,-0.191928
W10 4EJ,51.527555,-0.212791
W12 0FG,51.517075,-0.231972
W14 0EQ,51.498044,-0.214585
WC2A 2JF,51.515161,-0.11272
TR13 8QT,50.103946,-5.270406
TR20 9DN,50.129966,-5.421897
TR2 5JB,50.185351,-5.009834
BN20 7AN,50.759805,0.280413
TQ4 7AG,50.412373,-3.573119
BN9 0BN,50.786153,0.059004
BN22 0TX,50.804207,0.271972
